,city,city_details,experience,private_experience,alter_experience,sex,age,marital_status,has_children,allow_time_request,experimentGroup,working_with.family,working_with.adults,working_with.lgbt,working_with.believer,working_with.fem,working_with.foreigner,working_with.elderly,education_count,competences_count,methods_count,expertise_count,features_of_work_count,price
394,Москва,м. Бауманская,3,0,0,F,,married,False,True,False,False,True,True,False,False,False,False,10,4,3,2,8,4000
395,Москва,м. Китай-Город / Лубянка,4,4,2,F,41.0,married,True,True,False,False,True,False,False,False,False,False,4,4,1,2,8,3500
396,Москва,м. Китай-город; м. Славянский бульвар,7,0,0,F,53.0,married,True,True,False,True,True,False,False,False,False,True,9,8,2,2,13,3500
397,Санкт-Петербург,м. Петроградская,5,5,2,F,28.0,married,False,True,False,False,True,True,False,False,False,False,7,4,1,3,12,5000
398,Москва,м. Краснопресненская,19,0,0,F,40.0,single,False,True,False,False,True,False,False,False,False,True,6,4,2,2,11,5500
399,Москва,,4,0,0,F,33.0,married,False,True,False,False,True,False,False,False,False,False,6,4,1,2,8,3500
400,Симферополь,,3,0,0,F,31.0,married,True,True,True,False,True,False,False,False,False,False,2,4,1,2,12,3000
401,Ярославль,,8,7,2,F,44.0,married,True,True,False,False,True,True,False,False,False,False,6,4,1,3,15,2500
402,Москва,м. Краснопресненская,2,5,1,F,28.0,married,,True,True,True,True,True,False,False,False,True,5,21,2,3,14,3500
403,Москва,м. Парк Культуры (радиальная),7,7,3,F,46.0,married,True,True,False,False,True,True,False,False,False,False,12,4,1,6,13,3000
404,Краснодар,,2,2,0,F,40.0,married,True,True,False,False,True,False,False,False,False,False,6,8,2,2,13,2000
405,Владикавказ,,8,12,0,F,34.0,married,True,True,False,True,True,False,False,False,False,True,4,15,3,5,16,3000
406,Москва,м. Парк Победы,5,0,0,F,32.0,married,True,True,False,False,True,False,False,False,False,False,15,4,1,0,14,4000
407,Саратов,,5,5,1,F,32.0,married,True,True,True,False,True,True,False,False,False,False,5,10,1,3,13,2500
408,Москва,м. Чистые пруды,5,0,0,F,31.0,married,True,True,False,False,True,False,False,False,False,False,3,4,1,2,14,5000
409,Москва,м. Новаторская,2,5,0,F,45.0,single,True,True,True,False,True,False,False,False,False,False,3,7,2,4,16,3200
410,Москва,,5,0,0,F,36.0,,,True,False,False,True,False,True,False,False,True,3,12,2,5,18,4000
411,Москва,м. Третьяковская,3,3,1,F,32.0,,,True,False,False,True,True,False,False,False,False,14,4,3,1,14,3500
412,Санкт-Петербург,,2,0,0,F,40.0,single,,True,True,False,True,False,False,False,False,False,4,3,1,3,17,2200
413,Чебоксары,,14,15,1,F,41.0,married,True,True,False,False,True,False,False,False,False,False,4,4,1,3,12,2900
414,Москва,м. Тверская,14,15,1,F,46.0,married,True,True,True,False,True,False,False,False,False,True,8,12,3,6,7,5000
415,Санкт-Петербург,м. Василеостровская,3,4,1,F,27.0,married,,True,True,False,True,True,False,False,False,False,5,4,1,3,13,3500
416,Москва,м. Шаболовская,3,3,1,F,36.0,married,False,True,True,False,True,True,False,True,False,False,7,4,2,1,11,3000
417,Пермь,,3,11,1,F,33.0,married,True,True,False,False,True,False,False,False,False,False,3,13,3,2,13,2500
418,Москва,м. Планерная,15,14,3,F,45.0,single,True,True,False,True,True,True,False,False,False,False,11,4,4,1,15,4000
419,Москва,м. Кузнецкий Мост,7,7,4,F,29.0,single,False,True,False,False,True,False,False,False,False,False,3,7,1,0,0,3500
420,Москва,м. Баррикадная / Краснопресненская,8,7,2,F,42.0,single,True,True,False,True,True,True,False,True,False,False,7,14,2,4,9,3500
421,Москва,м. Новокузнецкая,10,9,4,F,46.0,married,True,True,False,False,True,False,False,False,False,True,4,3,1,4,12,5000
422,Томск,,3,0,0,F,26.0,single,False,True,False,False,True,False,False,False,False,False,10,4,1,0,10,3000
423,Кемерово,,5,0,0,F,45.0,married,True,True,True,False,True,False,False,False,False,False,9,4,1,2,14,2600
424,Москва,,5,0,0,F,43.0,married,True,True,False,False,True,False,False,False,False,True,11,4,1,2,9,5000
425,Санкт-Петербург,м. Садовая / Сенная / Спасская,2,3,1,F,25.0,single,False,False,True,False,True,False,False,False,False,False,3,7,1,0,14,2200
426,Москва,м.Ботанический сад/ м.Бабушкинская,12,0,0,F,50.0,married,True,True,False,True,True,False,False,False,False,True,8,4,3,4,16,4000
427,Москва,,12,15,1,F,43.0,married,,True,True,False,True,False,False,False,False,False,3,7,1,5,14,4000
428,Москва,м. Китай-город,3,6,1,F,,,,True,False,False,True,True,False,False,False,False,4,4,1,2,6,4320
429,Калининград,,4,5,1,F,45.0,married,True,True,False,True,True,False,False,False,False,False,5,6,1,4,20,3000
430,Санкт-Петербург,,7,10,2,M,34.0,married,False,True,False,False,True,True,False,False,False,True,6,4,1,5,12,3500
431,Санкт-Петербург,,2,2,1,F,30.0,married,False,True,False,False,True,False,False,False,False,True,4,7,1,2,14,1500
432,Москва,м. Китай-город,6,0,0,F,37.0,single,False,True,False,False,True,False,False,False,False,False,6,3,1,4,8,3500
433,Санкт-Петербург,м. Московская,4,6,3,F,40.0,married,True,True,False,False,True,True,False,False,False,False,10,4,1,1,8,5500
434,Москва,м. Таганская / Марксистская,11,0,0,F,41.0,married,True,True,False,False,True,True,False,False,False,True,3,4,1,6,12,4500
435,Уфа,,4,9,1,F,36.0,single,False,True,False,False,True,True,False,False,False,False,10,4,3,2,15,3250
436,Москва,м. Третьяковская,12,13,3,F,51.0,single,True,True,False,True,True,True,False,False,False,True,17,4,1,4,21,5500
437,Москва,м. Таганская,8,9,2,F,35.0,single,True,True,False,False,True,False,False,False,False,False,21,4,2,0,7,5000
438,Москва,м. Менделеевская,3,0,0,F,31.0,married,False,True,False,False,True,True,False,False,False,False,12,4,2,1,10,3500
